 Category,Responsible Person,Publishing Date ,Platform (ENG/CN),Country,Blog Title ,Subtitle/Snippet (For Web),GD Image Link/Video Link,Related Mojo Website Case/Media for Cross Linking,INFLUENCERS,HASHTAGS,ENGLISH (Linkedin / FB)  - BITIC CHECK,ENGLISH (Instagram)  - BITIC CHECK,ENGLISH (Twitter)  - BITIC CHECK,CHINESE (SIMPLIFIED) - MAINLAND/SINGAPORE/MALAYSIA,CHINESE (TRADITIONAL) - TAIWAN/HK,SPANISH + CATALAN,JAPANESE
MOJO Think,Northy/Eunice,2020-5-27,FB/LI/IG,Hong Kong,Be Creative but also “Creating”,,image required,https://www.globaldigitalmojo.com/,,,"There are several things that innovative companies need to be aware of. Innovation doesn’t just happen suddenly. It is time contributing to hard work and maybe a thousand times of failures. It is normal for companies to fail more than they have succeeded. However, it is obvious that they must minimize the possibilities of failures for budget control. Thus, innovative companies might seek for different creative endeavours such as ideation workshops, hackathons, and idea challenge. 

But it links with another serious problem here. The innovations in the companies sometimes stuck at this point and stopped because of time or resources limitation for developing new ideas. The most important reason could also be --- lack of skills for further creative action. Especially when the innovation involved in design, engineering, or even business sale skills could stop innovators to move on.

Therefore, many companies hire Global Digital MOJO to assist them for more innovation. For instance, Shangri-La, five-star luxury hotels from Hong Kong identified the need for growing an innovation vulture as a key strategic goal within the organisation. They approached us to train and mentor their hotel general managers for a new strategic plan. We ran a series of Design-Thinking workshops and introduced our “Agile Innovation Toolkit” to the team as well as supporting them in service and process design projects across the Shangri-La network.

The Global Digital MOJO team is professional and sophisticated. For those who need a digital transformation in business, we offer great digital leadership from around the world. More importantly, we are not only here to train you, but we can also support strategy implementation and product or service design. Innovation can sometimes be stressful and tough; however, you can definitely enjoy the process by our step-by-step assistance.

Stop just being “creative.” It is time to “CREAT” your own business! Come connect with us and know more details about us: https://www.globaldigitalmojo.com/

#GlobalDigitalMojo #HongKong #innovation #digitaltransformation #marketingdesign #marketingstrategy #digitalmarketing #workshop #businesscreation ",,,,,,
MOJO Think,David/Ari,2020-5-24,Mojo Web,barcelona,FIND YOUR MOJO : Vol 4. Barcelona,,,Linke to MOJO press/Think,,,,,,,,Need translation,
MOJO Think,David/Ari,2020-5-25,FB/LI/IG,barcelona,FIND YOUR MOJO : Vol 4. Barcelona,,,Linke to MOJO press/Think,,,,,,,,Need translation,
MOJO News,Andoni/Pooja/David,2020-5-27,FB/LI/IG,Global,Mexico team to make a post,,,,,,,,,,,,
MOJO News,Andoni/David,2020-5-29,FB/LI/IG,Global,Mexico team to make a post,,,,,,,,,,,,
MOJO Think,Adi/David/Badal,2020-6-1,FB/LI/IG,India,FIND YOUR MOJO : Vol 2. India,,,Linke to MOJO press/Think,,,,,,,,,
MOJO Think,Adi/David/Badal,2020-5-31,Mojo Web,India,FIND YOUR MOJO : Vol 2. India,,,Linke to MOJO press/Think,,,,,,,,,
MOJO Think,Adi/Andoni,2020-6-7,Mojo Web,Mexico,FIND YOUR MOJO : Vol 6. Mexico,,,Linke to MOJO press/Think,,,,,,,,Need translation,
MOJO Think,Adi/Andoni,2020-6-8,FB/LI/IG,Mexico,FIND YOUR MOJO : Vol 6. Mexico,,,Linke to MOJO press/Think,,,,,,,,Need translation,
MOJO News,peggy/Mihir,,MOJO News(CN),Taiwan,"MOJO首席戰略師Dr. David Williams5/30將出現在台南
MOJO Lead Strategist Dr. David Williams  will appear in Tainan 5/30",,https://drive.google.com/drive/u/1/folders/1A7w1pCnuJ4Dv-OtRUaf42kRim_pjNlyD,"https://basecamp.com/2331346/calendars/1018410/calendar_events/42898325#comment_763620036
https://www.facebook.com/NCKUIDexpo/",,#digitaltransformation #prostep #UXdesign #MOJOTaichung #MastersDesign #DesignThinking  #GlobalDigitalMOJO #MOJOAcademy #education #Innovation #AI #DesignFuture #FutureDesign ,"GDMOJO Lead Strategist Dr. David Williams will attend the ""What do you think of AI?"" event held at the Ubuntu Bookstore in Tainan. In the afternoon, he will attend the graduation design project of the Department of Industrial Design of National Cheng Kung University and participate in the discussion of a new generation of designers, share and discuss future innovative designs.
",,,,GDMOJO首席戰略師Dr. David Williams將出席在台南Ubuntu烏邦圖書店舉辦的「你覺得ＡＩ是什麼？」活動，下午將出席成功大學工業設計學系畢業設計計畫，參與新一代設計師的討論與分享及探討未來創新設計。,,
JUNE ,,,,,,,,,,,,,,,,,
